                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.79816,                 0.7485,                  1.005,                0.97585,                      1,                  0.995,                0.89544,                0.70388,                0.87359,                 1.1224,               0.000376,               0.000376,               0.000376
                     35,                0.91494,                0.60116,                0.97709,                0.97585,                      1,                  0.995,                0.89544,                0.70388,                0.87359,                 1.1224,             0.00038128,             0.00038128,             0.00038128
                     36,                0.78736,                0.57853,                0.97631,                0.98255,                      1,                  0.995,                  0.796,                0.99676,                0.97427,                 1.2539,             0.00038624,             0.00038624,             0.00038624
                     37,                 1.1401,                0.73866,                 1.2281,                0.98255,                      1,                  0.995,                  0.796,                0.99676,                0.97427,                 1.2539,             0.00039086,             0.00039086,             0.00039086
                     38,                0.88172,                0.69837,                 1.0225,                0.98242,                      1,                  0.995,                0.74641,                 1.1582,                0.86913,                 1.3297,             0.00039515,             0.00039515,             0.00039515
                     39,                0.92904,                0.62591,                 1.0164,                0.98242,                      1,                  0.995,                0.74641,                 1.1582,                0.86913,                 1.3297,             0.00039911,             0.00039911,             0.00039911
                     40,                0.79796,                0.58863,                0.90836,                0.98246,                      1,                  0.995,                 0.6965,                 1.1524,                0.90739,                 1.3306,             0.00040275,             0.00040275,             0.00040275
                     41,                0.93434,                0.66709,                 1.0611,                0.98246,                      1,                  0.995,                 0.6965,                 1.1524,                0.90739,                 1.3306,             0.00040605,             0.00040605,             0.00040605
                     42,                 1.0478,                 0.6913,                 1.0177,                0.98318,                      1,                  0.995,                  0.796,                0.89166,                0.86954,                 1.1921,             0.00040902,             0.00040902,             0.00040902
                     43,                0.87987,                0.64826,                0.93505,                0.98318,                      1,                  0.995,                  0.796,                0.89166,                0.86954,                 1.1921,             0.00041166,             0.00041166,             0.00041166
                     44,                0.98318,                0.62291,                 1.0094,                0.99694,                      1,                  0.995,                0.82104,                0.79614,                0.98148,                  1.138,             0.00041398,             0.00041398,             0.00041398
                     45,                0.82601,                0.57588,                0.93318,                0.99694,                      1,                  0.995,                0.82104,                0.79614,                0.98148,                  1.138,             0.00041596,             0.00041596,             0.00041596
                     46,                0.88278,                0.60968,                0.96408,                0.99716,                      1,                  0.995,                0.82102,                0.72732,                0.87749,                 1.1417,             0.00041761,             0.00041761,             0.00041761
                     47,                0.99848,                 0.6775,                 1.1138,                0.99716,                      1,                  0.995,                0.82102,                0.72732,                0.87749,                 1.1417,             0.00041893,             0.00041893,             0.00041893
                     48,                0.99554,                0.65897,                 1.1258,                 0.9847,                      1,                  0.995,                0.79604,                  0.751,                0.76304,                 1.1492,             0.00041992,             0.00041992,             0.00041992
                     49,                0.91679,                0.79973,                 1.1125,                 0.9847,                      1,                  0.995,                0.79604,                  0.751,                0.76304,                 1.1492,             0.00042059,             0.00042059,             0.00042059
                     50,                0.86736,                0.59116,                 0.9735,                0.98268,                      1,                  0.995,                0.74631,                0.82428,                0.93614,                 1.1688,             0.00042092,             0.00042092,             0.00042092
                     51,                0.89691,                0.57623,                0.96507,                0.98268,                      1,                  0.995,                0.74631,                0.82428,                0.93614,                 1.1688,             0.00042092,             0.00042092,             0.00042092
                     52,                0.84356,                0.59554,                0.90611,                0.98268,                      1,                  0.995,                0.74631,                0.82428,                0.93614,                 1.1688,             0.00042059,             0.00042059,             0.00042059
                     53,                0.91258,                0.69292,                 1.0875,                0.98365,                      1,                  0.995,                  0.796,                0.81618,                0.66032,                 1.1353,             0.00041993,             0.00041993,             0.00041993
                     54,                0.91522,                0.58498,                 1.0158,                0.98365,                      1,                  0.995,                  0.796,                0.81618,                0.66032,                 1.1353,             0.00041894,             0.00041894,             0.00041894
                     55,                0.88739,                0.63146,                 1.0794,                0.98365,                      1,                  0.995,                  0.796,                0.81618,                0.66032,                 1.1353,             0.00041763,             0.00041763,             0.00041763
                     56,                0.92758,                0.65281,                 0.9882,                0.98593,                      1,                  0.995,                0.89548,                0.56148,                0.59803,                  1.062,             0.00041598,             0.00041598,             0.00041598
                     57,                 1.0139,                0.64349,                 1.0169,                0.98593,                      1,                  0.995,                0.89548,                0.56148,                0.59803,                  1.062,               0.000414,               0.000414,               0.000414
                     58,                 1.1451,                0.75964,                0.97335,                0.98593,                      1,                  0.995,                0.89548,                0.56148,                0.59803,                  1.062,             0.00041169,             0.00041169,             0.00041169
                     59,                0.80926,                0.75439,                 1.0624,                 0.9869,                      1,                  0.995,                0.94531,                0.49444,                0.59264,                  1.045,             0.00040905,             0.00040905,             0.00040905
                     60,                0.86291,                0.67134,                0.98083,                 0.9869,                      1,                  0.995,                0.94531,                0.49444,                0.59264,                  1.045,             0.00040608,             0.00040608,             0.00040608
                     61,                0.89421,                0.61796,                0.90225,                 0.9869,                      1,                  0.995,                0.94531,                0.49444,                0.59264,                  1.045,             0.00040278,             0.00040278,             0.00040278
                     62,                0.88551,                0.68626,                 1.0682,                0.98023,                      1,                  0.995,                 0.8955,                0.52336,                0.58264,                 1.0496,             0.00039915,             0.00039915,             0.00039915
                     63,                0.84027,                0.55865,                 1.0168,                0.98023,                      1,                  0.995,                 0.8955,                0.52336,                0.58264,                 1.0496,             0.00039519,             0.00039519,             0.00039519
                     64,                0.98194,                0.76184,                 1.1541,                0.98023,                      1,                  0.995,                 0.8955,                0.52336,                0.58264,                 1.0496,              0.0003909,              0.0003909,              0.0003909
                     65,                0.75208,                0.63579,                 1.0017,                0.98119,                      1,                  0.995,                0.84575,                0.57902,                0.66009,                 1.0519,             0.00038629,             0.00038629,             0.00038629
                     66,                0.76395,                0.52558,                0.93156,                0.98119,                      1,                  0.995,                0.84575,                0.57902,                0.66009,                 1.0519,             0.00038134,             0.00038134,             0.00038134
                     67,                0.83195,                0.58397,                  1.047,                0.98119,                      1,                  0.995,                0.84575,                0.57902,                0.66009,                 1.0519,             0.00037606,             0.00037606,             0.00037606
                     68,                0.93606,                0.56923,                0.95545,                 0.9826,                      1,                  0.995,                 0.8955,                 0.5813,                0.59754,                 1.0565,             0.00037045,             0.00037045,             0.00037045
                     69,                 0.7383,                0.57646,                 1.0054,                 0.9826,                      1,                  0.995,                 0.8955,                 0.5813,                0.59754,                 1.0565,             0.00036451,             0.00036451,             0.00036451
                     70,                0.70594,                0.48734,                0.97318,                 0.9826,                      1,                  0.995,                 0.8955,                 0.5813,                0.59754,                 1.0565,             0.00035824,             0.00035824,             0.00035824
                     71,                0.80366,                0.60772,                0.96604,                0.98257,                      1,                  0.995,                0.82112,                0.62886,                0.54727,                 1.0637,             0.00035164,             0.00035164,             0.00035164
                     72,                0.94136,                  0.652,                 1.0879,                0.98257,                      1,                  0.995,                0.82112,                0.62886,                0.54727,                 1.0637,             0.00034471,             0.00034471,             0.00034471
                     73,                0.77142,                0.50071,                0.98898,                0.98257,                      1,                  0.995,                0.82112,                0.62886,                0.54727,                 1.0637,             0.00033745,             0.00033745,             0.00033745
